,0,1
0,-7.581201,-5.8249135
1,-7.559008,-5.8249135
2,-7.536118,-5.8249135
3,-7.512513,-5.8249135
4,-7.488173,-5.8249135
5,-7.463076,-5.8249135
6,-7.4372,-5.8249135
7,-7.4105263,-5.8249135
8,-7.38303,-5.8249135
9,-7.354692,-5.8249135
10,-7.3254867,-5.8249135
11,-7.2953925,-5.8249135
12,-7.2643857,-5.8249135
13,-7.232443,-5.8249135
14,-7.19954,-5.8249135
15,-7.1656537,-5.8249135
16,-7.1307597,-5.8249135
17,-7.094834,-5.8249135
18,-7.0578504,-5.8249135
19,-7.0197854,-5.8249135
20,-6.980615,-5.8249135
21,-6.940314,-5.8249135
22,-6.8988576,-5.8249135
23,-6.8562236,-5.8249135
24,-6.8123846,-5.8249135
25,-6.7673182,-5.8249135
26,-6.721002,-5.8249135
27,-6.6734114,-5.8249135
28,-6.624526,-5.8249135
29,-6.574319,-5.8249135
30,-6.522774,-5.8249135
31,-6.469868,-5.8249135
32,-6.415581,-5.8249135
33,-6.3598957,-5.8249135
34,-6.3027906,-5.8249135
35,-6.244252,-5.8249135
36,-6.184264,-5.8249135
37,-6.12281,-5.8249135
38,-6.0598783,-5.8249135
39,-5.9954557,-5.8249135
40,-5.929533,-5.8249135
41,-5.862102,-5.8249135
42,-5.793154,-5.824912
43,-5.7226834,-5.824912
44,-5.6506877,-5.824912
45,-5.577165,-5.824912
46,-5.502114,-5.824912
47,-5.4255376,-5.824912
48,-5.3474383,-5.824912
49,-5.2678227,-5.824912
50,-5.1866984,-5.824912
51,-5.104075,-5.824912
52,-5.0199623,-5.824912
53,-4.934374,-5.824912
54,-4.8473268,-5.824912
55,-4.7588353,-5.824912
56,-4.668921,-5.824912
57,-4.5776033,-5.824912
58,-4.4849043,-5.824912
59,-4.390847,-5.824912
60,-4.2954607,-5.824912
61,-4.198769,-5.824912
62,-4.100802,-5.824912
63,-4.0015907,-5.824912
64,-3.9011674,-5.824912
65,-3.799564,-5.824912
66,-3.6968164,-5.824912
67,-3.5929604,-5.824912
68,-3.488035,-5.824912
69,-3.3820786,-5.824912
70,-3.2751315,-5.824912
71,-3.1672366,-5.824912
72,-3.0584373,-5.824912
73,-2.9487786,-5.824912
74,-2.838308,-5.824912
75,-2.727072,-5.824912
76,-2.6151214,-5.824912
77,-2.5025067,-5.824912
78,-2.389281,-5.824912
79,-2.2754974,-5.824912
80,-2.161211,-5.824912
81,-2.0464766,-5.824912
82,-1.9313501,-5.824912
83,-1.8158876,-5.824912
84,-1.7001451,-5.824912
85,-1.5841764,-5.824912
86,-1.4680338,-5.824912
87,-1.3517673,-5.824912
88,-1.2354226,-5.824912
89,-1.1190416,-5.824912
90,-1.0026594,-5.824912
91,-0.88630533,-5.824912
92,-0.7700007,-5.824912
93,-0.65375936,-5.824912
94,-0.5375855,7.074312
95,-0.42147467,7.074312
96,-0.3054146,7.074312
97,-0.18938431,7.074312
98,-0.07335597,7.074312
99,0.0427033,7.074312
100,0.1588304,7.074312
101,0.27506405,7.074312
102,0.3914423,7.074312
103,0.50800043,7.074312
104,0.62476945,7.074312
105,0.74177444,7.074312
106,0.8590323,7.074312
107,0.97655165,7.074312
108,1.0943319,7.074312
109,1.2123632,7.074312
110,1.3306264,7.074312
111,1.4490938,7.074312
112,1.5677297,7.074312
113,1.6864927,7.074312
114,1.8053334,7.074312
115,1.9241997,7.074312
116,2.0430343,7.074312
117,2.161777,7.074312
118,2.280367,7.074312
119,2.3987415,7.074312
120,2.5168357,7.074312
121,2.634587,7.074312
122,2.7519326,7.074312
123,2.8688102,7.074312
124,2.9851592,7.074312
125,3.1009192,7.074312
126,3.2160332,7.074312
127,3.330443,7.074312
128,3.444094,7.074312
129,3.556934,7.074312
130,3.6689124,7.074312
131,3.7799783,7.074312
132,3.890085,7.074312
133,3.9991858,7.074312
134,4.1072373,7.074312
135,4.214197,7.074312
136,4.320026,7.074312
137,4.4246845,7.074312
138,4.528136,7.074312
139,4.6303463,7.074312
140,4.7312818,7.074312
141,4.8309126,7.074312
142,4.9292088,7.074312
143,5.0261445,7.074312
144,5.121691,7.074312
145,5.2158294,7.074312
146,5.308536,7.074312
147,5.39979,7.074312
148,5.489576,7.074312
149,5.577877,7.074312
150,5.664678,7.074312
151,5.74997,7.074312
152,5.833742,7.074312
153,5.9159846,7.074312
154,5.9966903,7.074312
155,6.075858,7.074312
156,6.153483,7.074312
157,6.2295628,7.074312
158,6.3041005,7.074312
159,6.377097,7.074312
160,6.448557,7.074312
161,6.5184846,7.074312
162,6.586888,7.074312
163,6.6537757,7.074312
164,6.719156,7.074312
165,6.7830415,7.074312
166,6.8454432,7.074312
167,6.9063745,7.074312
168,6.9658527,7.074312
169,7.0238895,7.074312
170,7.0805054,7.0743146
171,7.135714,7.0743146
172,7.189535,7.0743146
173,7.2419896,7.0743146
174,7.293096,7.0743146
175,7.342873,7.0743146
176,7.391345,7.0743146
177,7.4385314,7.0743146
178,7.484454,7.0743146
179,7.5291386,7.0743146
180,7.572603,7.0743146
181,7.6148734,7.0743146
182,7.655972,7.0743146
183,7.6959224,7.0743146
184,7.7347465,7.0743146
185,7.772472,7.0743146
186,7.8091187,7.0743146
187,7.8447113,7.0743146
188,7.8792753,7.0743146
189,7.9128327,7.0743146
190,7.9454064,7.0743146
191,7.9770203,7.0743146
192,8.007696,7.0743146
193,8.03746,7.0743146
194,8.066333,7.0743146
195,8.094336,7.0743146
196,8.121494,7.0743146
197,8.147827,7.0743146
198,8.173357,7.0743146
199,8.198105,7.0743146
