,0
0,-8.271786
1,-8.261099
2,-8.249489
3,-8.236879
4,-8.22319
5,-8.208338
6,-8.192228
7,-8.174768
8,-8.155851
9,-8.135374
10,-8.11322
11,-8.089272
12,-8.063404
13,-8.03549
14,-8.005396
15,-7.9729857
16,-7.9381223
17,-7.9006658
18,-7.860476
19,-7.8174148
20,-7.7713475
21,-7.7221475
22,-7.6696897
23,-7.6138663
24,-7.5545774
25,-7.491739
26,-7.4252887
27,-7.355183
28,-7.281402
29,-7.2039537
30,-7.1228733
31,-7.038228
32,-6.950115
33,-6.858665
34,-6.7640395
35,-6.666429
36,-6.566056
37,-6.463167
38,-6.358029
39,-6.250928
40,-6.142162
41,-6.032033
42,-5.920847
43,-5.808903
44,-5.696488
45,-5.583872
46,-5.471306
47,-5.359011
48,-5.2471843
49,-5.1359873
50,-5.0255527
51,-4.915977
52,-4.807328
53,-4.6996393
54,-4.5929184
55,-4.4871464
56,-4.3822813
57,-4.2782645
58,-4.1750193
59,-4.0724583
60,-3.97049
61,-3.8690162
62,-3.76794
63,-3.6671667
64,-3.5666099
65,-3.4661884
66,-3.3658342
67,-3.2654877
68,-3.1651042
69,-3.0646489
70,-2.9641037
71,-2.8634586
72,-2.7627177
73,-2.661892
74,-2.5610023
75,-2.460075
76,-2.3591413
77,-2.258234
78,-2.1573873
79,-2.056631
80,-1.9559934
81,-1.8554959
82,-1.7551522
83,-1.6549678
84,-1.5549366
85,-1.4550443
86,-1.3552604
87,-1.2555437
88,-1.1558373
89,-1.0560701
90,-0.9561553
91,-0.8559892
92,-0.7554517
93,-0.65440345
94,-0.5526875
95,-0.45013046
96,-0.34653974
97,-0.24170786
98,-0.13541716
99,-0.027443886
100,0.082431436
101,0.19440985
102,0.30866084
103,0.42529956
104,0.54436505
105,0.66579676
106,0.78941345
107,0.91489923
108,1.0417942
109,1.1695026
110,1.2973156
111,1.4244437
112,1.5500643
113,1.6733735
114,1.7936366
115,1.9102315
116,2.0226812
117,2.130669
118,2.234043
119,2.3328013
120,2.4270773
121,2.5171118
122,2.603227
123,2.6858013
124,2.765248
125,2.8419967
126,2.916476
127,2.9891067
128,3.0602937
129,3.1304195
130,3.1998436
131,3.268901
132,3.337902
133,3.4071338
134,3.4768586
135,3.5473206
136,3.6187394
137,3.691319
138,3.7652435
139,3.8406787
140,3.9177747
141,3.9966645
142,4.077465
143,4.160276
144,4.2451806
145,4.3322473
146,4.421526
147,4.513049
148,4.6068335
149,4.7028747
150,4.801154
151,4.901631
152,5.0042486
153,5.1089296
154,5.21558
155,5.324086
156,5.4343176
157,5.5461254
158,5.659347
159,5.7738028
160,5.8893
161,6.0056324
162,6.1225853
163,6.2399344
164,6.3574476
165,6.474891
166,6.5920258
167,6.708613
168,6.824417
169,6.939206
170,7.052754
171,7.164844
172,7.27527
173,7.383835
174,7.4903574
175,7.594671
176,7.696622
177,7.7960753
178,7.892911
179,7.987026
180,8.078337
181,8.166772
182,8.252279
183,8.334824
184,8.414379
185,8.490942
186,8.564517
187,8.635121
188,8.702783
189,8.767542
190,8.829449
191,8.888556
192,8.944927
193,8.998634
194,9.049749
195,9.098351
196,9.14452
197,9.188339
198,9.229895
199,9.269274
